"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-22wTQUzAxxgEF2PmNsNoeQ","LegalEntity","HEBEI CONSTRUCTION GROUP CORPORATION LIMITED WUJI COUNTY BRANCH","","","cn","4 / F, PROPERTY BUILDING, LUYIN SHUI 'AN COMMUNITY, NO. 4-102, WEST HOPE ROAD, WUJI COUNTY, SHIJIAZHUANG CITY, HEBEI PROVINCE, China","","Cross Debarment: ADB - 2024-08-22 - 2027-07-22","","","","WorldBank Debarred Providers","2024-08-23T15:03:03","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-23KkjXHEZQdFPHMmJ5tWK7","LegalEntity","GANZHOU JIDA CONSTRUCTION ENGINEERING CO., LTD.","","","cn","4TH FLOOR, NO. 37, FENGSHUTANG, HENGLING VILLAGE, FENGGANG TOWN, GANZHOU ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, GANZHOU CITY, JIANGXI, China","","Controlled Affiliate of a Sanctioned Entity - 2023-05-02 - 2026-05-01","","","","WorldBank Debarred Providers","2023-05-03T00:16:27","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-23b3kRvzCbHUvJuMdwZ2nw","LegalEntity","NÉSTOR ALFREDO DOMÍNGUEZ HERNÁNDEZ","","","gt","47 CALLE 12-26, ZONA 12, -CIUDAD DE GUATEMALA, Guatemala","","Cross Debarment: IDB - 2025-03-27 - 2026-08-16","","","","WorldBank Debarred Providers","2025-03-28T15:03:06","2026-03-23T15:03:02","2025-03-28T15:03:06"
"NK-29SdyPxqz8BYDabuTWJuM8","LegalEntity","BRANCH OF CANADA CONSTRUCTION COOPERATION LIMITED","","","kh","PHUM 6, TUAI SVAY PREY MUOY, CHAMKAR MON, PHNOM PENH, Cambodia;PHUM SANSAM KASAL 1, BOENG TUMPUN, MEAN CHEY, PHNOM PENH 12351, Cambodia;PHUM SANSAM KOSAL 1, BOENG TUMPUN, MEAN CHEAY, PHNOM PENH, 12351, Cambodia","","Cross Debarment: ADB - 2022-06-13 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2AXWbkwC6ncCYtrgsaKdXi","LegalEntity","GRASCO COMPANY","","","cg","SIS NO. 1293 MAMPIRIR, BATIGNOLLES, BRAZZAVILLE, Congo, Republic of","","Procurement Guidelines, 1.15(a)(ii) - 2012-06-18 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2CSC78M2g25kys7PLpte6D","LegalEntity","HEBEI CONSTRUCTION GROUP CORPORATION LIMITED CONSTRUCTION INSTALLATION B","","","cn","ROOM 205, CENTRAL HEATING OFFICE BUILDING, NO.169 AIMIN WEST ROAD, ANCHI DISTRICT, LANGFANG CITY, HEBEI PROVINCE, China","","Cross Debarment: ADB - 2024-08-22 - 2027-07-22","","","","WorldBank Debarred Providers","2024-08-23T15:03:03","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2FfDiUurFp2E6mKMsZsEtX","LegalEntity","ASSOCIATION ""HIDROSTROITEL""","","","tj","KARIM DEVONA STREET 59, HISSAR RAYON, SHARORA DISTRICT, Tajikistan","","Procurement Guidelines, 1.15(a)(ii) - 2011-11-21 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2LttygN6CpgZpHETkjvqhX","LegalEntity","GLOBAL TECHNOLOGY SOLUTIONS, INC.","","","us","CHICAGO, United States","","Sanctions Procedures 9.04(a) - 2010-04-01 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2Q89y5ADepsEav9AK8atvW","LegalEntity","SOMSAVANH CHALEUN CONSTRUCTION CO., LTD.","","","la","PHONSAVANH VILLAGE, PAKSE DISTRICT, CHAMPASAK PROVINCE, Lao People's Democratic Republic","","Cross Debarment: ADB - 2022-11-01 - 2027-07-13","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2QN9tGCGoY37fQtqw9Nnnb","LegalEntity","CONSTRUTORA COESA S.A. - SUCURSAL HONDURAS","","","hn","EDIFFCIO METROPOLIS, AT BOULEVARD SUYAPA, N. 21602, 21603, 21604 E 21605, TEGUCIGALPA CITY, Honduras","","Cross Debarment: IDB - 2022-03-18 - 2026-07-15","","","","WorldBank Debarred Providers","2025-09-25T15:03:01","2026-03-23T15:03:02","2025-09-25T15:03:01"
"NK-2Rj5g2f5e5cyCfLxYXYaV5","LegalEntity","HEBEI CONSTRUCTION GROUP CORPORATION LIMITED CHENGDE CONCRETE BRANCH","","","cn","SHIMENGOU VILLAGE, DASHIMIAO TOWN, CHENGDE CITY, HEBEI PROVINCE, China","","Cross Debarment: ADB - 2024-08-22 - 2027-07-22","","","","WorldBank Debarred Providers","2024-08-23T15:03:03","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2Rz73jHudQPhpRFFhmoaKo","LegalEntity","D.A. CONSTRUCTION LIMITED","","","ng","HOUSE NO. 1, 114 ROAD, OFF II ROAD, 1ST AVENUE (A.P. FILLING STATION END), GWARINPA II, P.O. BOX 4824, GARKI, ABUJA, Nigeria","","Procurement Guidelines, 1.14(a)(ii) - 2014-05-06 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2Ufqb8brAxJ3uCgank8YZN","LegalEntity","HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHANHAIGUAN BRANCH","","","cn","NO 21, TAICHANG ROAD, SHANHAIGUAN DISTRICT, QINHUANGDAO CITY, HEBEI PROVINCE, China","","Cross Debarment: ADB - 2024-08-22 - 2027-07-22","","","","WorldBank Debarred Providers","2024-08-23T15:03:03","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2ZpPTZzN7zKDmyq79Q2z8d","LegalEntity","HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BEIJING NO 9 BRANCH","","","cn","NO 2, AIRPORT EAST ROAD, NATIONAL BUSINESS DISTRICT, SHUNYI DISTRICT, BEIJING, China","","Cross Debarment: ADB - 2024-08-22 - 2027-07-22","","","","WorldBank Debarred Providers","2024-08-23T15:03:03","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2avBeLqYrgQ8jJjMvjURYb","LegalEntity","EGIS COLOMBIA S.A.S.","","","co","CALLE 75# 13-51 PISO 6, 110221 BOGOTA DC, Colombia","","Cross Debarment: IDB - 2024-02-02 - 2027-01-02","","","","WorldBank Debarred Providers","2024-02-03T15:03:01","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2eZrpUBoqTBzggeQ4jTnUS","LegalEntity","NORTEX LINK LLP","","","kz","Kazakhstan, ALMATY, 050060, 60A ZHANDOSOV STREET, OFFICE 406, BOSTANDYK DISTRICT","","Procurement Guidelines, 1.14(a)(iii) and 1.14(a)(v) - 2018-01-05 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2hx7DYfG2zZHuyvuWPrhe9","LegalEntity","SUGDIYON-1 CO. LTD.","","","tj","163 KHAKHRINAU STREET, GARAUTY SETTLEMENT, DZHILIKUL DISTRICT, KHATLON PROVINCE, Tajikistan","","Sanctions Procedures sec. 9.04(c) - 2015-09-24 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2iKEELFDBHwcocAgD7JwCJ","LegalEntity","MR. EFE MICHAEL UDUMEBRAYE","","","ng","NO. 1 ERHURHIE STREET, EKIUGBO, UGHELLI, DELTA STATE, Nigeria","","Procurement Guidelines, 1.16(a)(i) - 2018-12-13 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2jv92YEFuGNitPBmiGSnpA","LegalEntity","MR. UGOCHUKWU EZEH","","","ng","KM 3, ABAKALIKI EXPRESSWAY, ENUGU, Nigeria","","January 2011 Procurement Guidelines, Paragraph 1.16(a)(ii) - 2020-02-03 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2q8m6P24jB2ajGonGyBY8Y","LegalEntity","BOFRA S.A.R.L.","","","cg","101 RUE GÉNÉRAL TESTARD, BRAZZAVILLE, Congo, Republic of","","Procurement Guidelines, 1.15(a)(ii) - 2012-06-18 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2wXTJgrY2hRETxVt7Cm3UA","LegalEntity","HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DINGZHOU BRANCH","","","cn","ROOM 2503, 25 / F, XIANGJIANG BUILDING, ZHONGXING WEST ROAD, DINGZHOU CITY, China","","Cross Debarment: ADB - 2024-08-22 - 2027-07-22","","","","WorldBank Debarred Providers","2024-08-23T15:03:03","2026-03-23T15:03:02","2024-11-28T15:03:03"
"NK-2xeqhxppK7G6Mun4jpnk4Q","LegalEntity","MR. AMIR UDDIN SHAH","","","pk","ARAA GANDI UMAR KHAN ROAD, HIKMAT ABAD, D.I. KHAN, Pakistan;SUNAHRI PLAZA, NOOR ELECTRICAL, TOOPO WALA, D.I. KHAN, Pakistan","","Cross Debarment: ADB - 2022-11-08 - 2028-07-13","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
